Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
49        	123       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
49        	124       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
49        	125       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
49        	126       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
49        	127       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	119       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	120       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	121       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	122       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	123       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	124       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	125       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	126       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
50        	127       	1         	I    	-79.8430822741	2.1115e-35    	8.2877	8.2877	19.771	19.771	2.0201	2.0201	0   	0   
57        	58        	1         	I    	-12.2092187438	4.9843e-06    	1.0178	1.0178	0   	0   	1.0149	1.0149	0   	0   
59        	85        	1         	I    	-130.7915427571	1.5774e-57    	10.324	10.324	19.734	19.734	16.062	16.062	11.372	11.372
59        	88        	1         	I    	-130.7915427571	1.5774e-57    	10.324	10.324	19.734	19.734	16.062	16.062	11.372	11.372
59        	112       	1         	I    	-176.1749626168	3.0774e-77    	10.544	10.544	19.568	19.568	3.2539	3.2539	37.535	37.535
59        	113       	1         	I    	-183.6670952983	1.7155e-80    	10.543	10.543	19.568	19.568	2.8575	2.8575	47.689	47.689
59        	115       	1         	I    	-183.6670952983	1.7155e-80    	10.543	10.543	19.568	19.568	2.8575	2.8575	47.689	47.689
