Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
46        	114       	1         	b    	-162.2925316072	3.2904e-71    	0   	8.7063	0   	8.7063	42  	42  	42  	42  
8         	47        	1         	b    	-98.0740766787	2.5525e-43    	19.001	1000	19.001	1000	1   	1   	1   	1   
13        	47        	1         	b    	-49.0078932939	5.2017e-22    	8.0003	1000	8.0003	1000	1   	1   	1   	1   
15        	47        	1         	b    	-51.9144220639	2.8435e-23    	9.0003	1000	9.0003	1000	1   	1   	1   	1   
22        	47        	1         	b    	-46.0144810161	1.0379e-20    	9.0003	1000	9.0003	1000	1   	1   	1   	1   
44        	47        	1         	b    	-50.6076137450	1.0505e-22    	11  	1000	11  	1000	1   	1   	1   	1   
48        	49        	1         	b    	-92.6334367750	5.8859e-41    	1.0106	1000	1.0106	1000	17  	17  	17  	17  
48        	50        	1         	b    	-92.6334367750	5.8859e-41    	1.0106	1000	1.0106	1000	17  	17  	17  	17  
48        	119       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
48        	120       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
48        	121       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
48        	122       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
48        	123       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
48        	124       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
48        	125       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
48        	126       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
48        	127       	1         	b    	-86.3221407366	3.2417e-38    	18  	-   	18  	-   	2   	2   	2   	2   
49        	50        	1         	b    	-83.1454522734	7.7694e-37    	1e-07	1000	1e-07	1000	17  	17  	17  	17  
49        	119       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
49        	120       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
49        	121       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
49        	122       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
49        	123       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
49        	124       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
49        	125       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
49        	126       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
49        	127       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	119       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	120       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	121       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	122       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	123       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	124       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	125       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	126       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
50        	127       	1         	b    	-80.6856352591	9.0923e-36    	17  	-   	17  	-   	2   	2   	2   	2   
57        	58        	1         	b    	-5.9002396364 	0.0027388     	0   	1000	0   	1000	1   	1   	1   	1   
59        	85        	1         	b    	-130.8132544253	1.5436e-57    	16.195	82.894	16.195	82.894	14  	14  	14  	14  
59        	88        	1         	b    	-130.8132544253	1.5436e-57    	16.195	82.894	16.195	82.894	14  	14  	14  	14  
59        	112       	1         	b    	-180.7756437040	3.0913e-79    	11.698	34.688	11.698	34.688	27  	27  	27  	27  
59        	113       	1         	b    	-192.0871595095	3.781e-84     	11.994	32.044	11.994	32.044	32  	32  	32  	32  
59        	115       	1         	b    	-192.0871595095	3.781e-84     	11.994	32.044	11.994	32.044	32  	32  	32  	32  
59        	116       	1         	b    	-192.0871595095	3.781e-84     	11.994	32.044	11.994	32.044	32  	32  	32  	32  
59        	117       	1         	b    	-192.0871595095	3.781e-84     	11.994	32.044	11.994	32.044	32  	32  	32  	32  
59        	118       	1         	b    	-180.7756437040	3.0913e-79    	11.698	34.688	11.698	34.688	27  	27  	27  	27  
4         	60        	1         	b    	-40.5669607297	2.4099e-18    	0   	7.0103	0   	7.0103	8   	8   	8   	8   
21        	60        	1         	b    	-40.5669607297	2.4099e-18    	0   	7.0103	0   	7.0103	8   	8   	8   	8   
