Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
22        	47        	1         	a    	-48.8293823330	6.2183e-22    	10  	10  	10  	10  	0   	6.1103	0   	6.1103
44        	47        	1         	a    	-53.3108721341	7.0369e-24    	12  	12  	12  	12  	0   	5.644	0   	5.644
48        	49        	1         	a    	-88.8821081763	2.5061e-39    	18  	18  	18  	18  	1e-07	1000	1e-07	1000
48        	50        	1         	a    	-88.8821081763	2.5061e-39    	18  	18  	18  	18  	1e-07	1000	1e-07	1000
48        	119       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
48        	120       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
48        	121       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
48        	122       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
48        	123       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
48        	124       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
48        	125       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
48        	126       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
48        	127       	1         	a    	-86.1116496988	4.0012e-38    	18  	18  	18  	18  	0   	2.222	0   	2.222
49        	50        	1         	a    	-83.1454522734	7.7694e-37    	17  	17  	17  	17  	1e-07	1000	1e-07	1000
49        	119       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
49        	120       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
49        	121       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
49        	122       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
49        	123       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
49        	124       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
49        	125       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
49        	126       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
49        	127       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	119       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	120       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	121       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	122       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	123       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	124       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	125       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	126       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
50        	127       	1         	a    	-80.4751442214	1.1222e-35    	17  	17  	17  	17  	0   	2.222	0   	2.222
57        	58        	1         	a    	-5.9002396364 	0.0027388     	1   	1   	1   	1   	0   	1000	0   	1000
59        	85        	1         	a    	-130.4710224291	2.1735e-57    	17  	17  	17  	17  	7.4727	18.378	7.4727	18.378
59        	88        	1         	a    	-130.4710224291	2.1735e-57    	17  	17  	17  	17  	7.4727	18.378	7.4727	18.378
59        	112       	1         	a    	-176.1338968194	3.2064e-77    	17  	17  	17  	17  	15.441	67.318	15.441	67.318
59        	113       	1         	a    	-185.5849887035	2.5204e-81    	17  	17  	17  	17  	18.781	84.45	18.781	84.45
59        	115       	1         	a    	-185.5849887035	2.5204e-81    	17  	17  	17  	17  	18.781	84.45	18.781	84.45
59        	116       	1         	a    	-185.5849887035	2.5204e-81    	17  	17  	17  	17  	18.781	84.45	18.781	84.45
59        	117       	1         	a    	-185.5849887035	2.5204e-81    	17  	17  	17  	17  	18.781	84.45	18.781	84.45
59        	118       	1         	a    	-176.1338968194	3.2064e-77    	17  	17  	17  	17  	15.441	67.318	15.441	67.318
4         	60        	1         	a    	-39.4823150081	7.1293e-18    	1   	1   	1   	1   	7.0064	1000	7.0064	1000
21        	60        	1         	a    	-39.4823150081	7.1293e-18    	1   	1   	1   	1   	7.0064	1000	7.0064	1000
57        	60        	1         	a    	-39.5205957159	6.8616e-18    	1   	1   	1   	1   	7.0061	1000	7.0061	1000
58        	60        	1         	a    	-39.5205957159	6.8616e-18    	1   	1   	1   	1   	7.0061	1000	7.0061	1000
61        	62        	1         	a    	-4.9631917210 	0.0069906     	1   	1   	1   	1   	0   	1000	0   	1000
61        	78        	1         	a    	-12.1388649509	5.3476e-06    	1   	1   	1   	1   	1.0009	1000	1.0009	1000
62        	78        	1         	a    	-12.1388649509	5.3476e-06    	1   	1   	1   	1   	1.0009	1000	1.0009	1000
44        	63        	1         	a    	-94.8923185701	6.1488e-42    	12  	12  	12  	12  	14.085	0   	14.085	0   
63        	64        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
63        	65        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
63        	66        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
63        	67        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
