Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
28        	104       	1         	B    	-46.7395656480	5.0265e-21    	0   	22.924	0   	0   	9.4682	9.4682	0   	0   
89        	105       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
90        	105       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
91        	105       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
92        	105       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
95        	105       	1         	B    	-78.8638593702	5.6216e-35    	2.5721	14.165	0   	0   	18.056	18.056	5.9086	5.9086
96        	105       	1         	B    	-98.9267141369	1.0881e-43    	4.4385	0   	10.529	0   	18.07	18.07	5.8856	5.8856
99        	105       	1         	B    	-98.9267141369	1.0881e-43    	4.4385	0   	10.529	0   	18.07	18.07	5.8856	5.8856
100       	105       	1         	B    	-78.8638593702	5.6216e-35    	2.5721	14.165	0   	0   	18.056	18.056	5.9086	5.9086
101       	105       	1         	B    	-78.8638593702	5.6216e-35    	2.5721	14.165	0   	0   	18.056	18.056	5.9086	5.9086
102       	105       	1         	B    	-98.9267141369	1.0881e-43    	4.4385	0   	10.529	0   	18.07	18.07	5.8856	5.8856
105       	106       	1         	B    	-66.5752615149	1.221e-29     	0   	1000	0   	1000	18.117	18.117	5.8126	5.8126
105       	107       	1         	B    	-71.0577696513	1.3804e-31    	0.705	1000	2.5689	1000	16.766	16.766	6.0607	6.0607
105       	108       	1         	B    	-66.5752615149	1.221e-29     	0   	1000	0   	1000	18.117	18.117	5.8126	5.8126
105       	109       	1         	B    	-71.0577696513	1.3804e-31    	0.705	1000	2.5689	1000	16.766	16.766	6.0607	6.0607
105       	110       	1         	B    	-66.5752615149	1.221e-29     	0   	1000	0   	1000	18.117	18.117	5.8126	5.8126
105       	111       	1         	B    	-66.5752615149	1.221e-29     	0   	1000	0   	1000	18.117	18.117	5.8126	5.8126
89        	106       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
90        	106       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
91        	106       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
92        	106       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
95        	106       	1         	B    	-78.8638593702	5.6216e-35    	2.5721	14.165	0   	0   	18.056	18.056	5.9086	5.9086
96        	106       	1         	B    	-98.9267141369	1.0881e-43    	4.4385	0   	10.529	0   	18.07	18.07	5.8856	5.8856
99        	106       	1         	B    	-98.9267141369	1.0881e-43    	4.4385	0   	10.529	0   	18.07	18.07	5.8856	5.8856
100       	106       	1         	B    	-78.8638593702	5.6216e-35    	2.5721	14.165	0   	0   	18.056	18.056	5.9086	5.9086
101       	106       	1         	B    	-78.8638593702	5.6216e-35    	2.5721	14.165	0   	0   	18.056	18.056	5.9086	5.9086
102       	106       	1         	B    	-98.9267141369	1.0881e-43    	4.4385	0   	10.529	0   	18.07	18.07	5.8856	5.8856
106       	107       	1         	B    	-71.0577696513	1.3804e-31    	0.705	1000	2.5689	1000	16.766	16.766	6.0607	6.0607
