Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
49        	50        	1         	A    	-69.3923245998	7.2996e-31    	8.4315	8.4315	19.665	19.665	1e-07	1000	0.0001	1000
49        	119       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
49        	120       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
49        	121       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
49        	122       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
49        	123       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
49        	124       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
49        	125       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
49        	126       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
49        	127       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	119       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	120       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	121       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	122       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	123       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	124       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	125       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	126       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
50        	127       	1         	A    	-79.6523675032	2.5551e-35    	8.2874	8.2874	19.771	19.771	0   	2.2223	0   	0   
57        	58        	1         	A    	-5.8836067542 	0.0027847     	1.0168	1.0168	0   	0   	0   	1000	0   	0   
59        	85        	1         	A    	-129.5722227616	5.3395e-57    	10.376	10.376	19.694	19.694	4.1222	16.731	7.7237	31.348
59        	88        	1         	A    	-129.5722227616	5.3395e-57    	10.376	10.376	19.694	19.694	4.1222	16.731	7.7237	31.348
59        	112       	1         	A    	-172.6865074434	1.0074e-75    	10.353	10.353	19.712	19.712	3.3266	9.7032	23.081	67.323
59        	113       	1         	A    	-180.0321110061	6.502e-79     	10.357	10.357	19.709	19.709	2.9145	8.0229	30.714	84.548
59        	115       	1         	A    	-180.0321110061	6.502e-79     	10.357	10.357	19.709	19.709	2.9145	8.0229	30.714	84.548
59        	116       	1         	A    	-180.0321110061	6.502e-79     	10.357	10.357	19.709	19.709	2.9145	8.0229	30.714	84.548
59        	117       	1         	A    	-180.0321110061	6.502e-79     	10.357	10.357	19.709	19.709	2.9145	8.0229	30.714	84.548
