Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
44        	66        	1         	L    	-93.8072282940	1.8199e-41    	5.4075	14.221	4.0752	10.718	9.3713	0   	16.181	0   
66        	67        	1         	L    	-48.5924301481	7.8809e-22    	9.5148	-   	16.065	-   	0   	1000	0   	1000
66        	80        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
66        	81        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
66        	82        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
44        	67        	1         	L    	-93.8072282940	1.8199e-41    	5.4075	14.221	4.0752	10.718	9.3713	0   	16.181	0   
67        	80        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
67        	81        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
67        	82        	1         	L    	-54.7190847204	1.7211e-24    	6.2988	1000	16.139	1000	11.545	1.1047	0   	0   
68        	69        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	70        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	71        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	72        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	73        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	74        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	75        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	76        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	77        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
68        	78        	1         	L    	-14.6191684502	4.4769e-07    	1.079	25.898	0   	0   	1.079	1000	0   	0   
69        	70        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
69        	71        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
69        	72        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
