Event1	Event2	Model1	Model2	LRT	Pvalue	combinedModels	df
7	43	i	a	1.1559388668	0.2823	ia	1
7	43	i	b	2.5952980836	0.1072	ib	1
7	43	i	l	3.75123694619998	0.1533	il	2
7	43	i	I	2.81085835459999	0.2453	iI	2
7	43	a	l	2.59529807939998	0.1072	al	1
7	43	a	A	2.6524803646	0.2655	aA	2
7	43	b	l	1.15593886259998	0.2823	bl	1
7	43	b	B	2.48735037739999	0.2883	bB	2
7	43	l	L	2.3300993788	0.3119	lL	2
7	43	I	A	0.997560876800009	0.3179	IA	1
7	43	I	B	2.2717901064	0.1317	IB	1
7	43	I	L	3.27047797039999	0.1949	IL	2
7	43	A	L	2.27291709359999	0.1317	AL	1
7	43	B	L	0.99868786399999	0.3176	BL	1
7	44	i	a	2.454123517	0.1172	ia	1
7	44	i	b	2.8832879002	0.0895	ib	1
7	44	i	l	4.93856524219999	0.08465	il	2
7	44	i	I	2.6717394348	0.2629	iI	2
7	44	a	l	2.48444172519999	0.115	al	1
7	44	a	A	2.96189541460001	0.2274	aA	2
7	44	b	l	2.05527734199998	0.1517	bl	1
7	44	b	B	3.09603684939998	0.2127	bB	2
7	44	l	L	2.7439081306	0.2536	lL	2
7	44	I	A	2.7442794968	0.0976	IA	1
7	44	I	B	3.30758531479998	0.06896	IB	1
7	44	I	L	5.01073393799999	0.08165	IL	2
7	44	A	L	2.26645444119998	0.1322	AL	1
7	44	B	L	1.70314862320001	0.1919	BL	1
7	45	i	a	4.4142490222	0.03564	ia	1
7	45	i	b	9.72043877039999	0.001822	ib	1
7	45	i	l	9.9538709336	0.006895	il	2
7	45	i	I	1.87116443719999	0.3924	iI	2
7	45	a	l	5.5396219114	0.01859	al	1
7	45	a	A	1.8654185004	0.3935	aA	2
7	45	b	l	0.233432163200007	0.629	bl	1
7	45	b	B	1.6366201626	0.4412	bB	2
7	45	l	L	1.63725848119999	0.441	lL	2
7	45	I	A	4.4085030854	0.03576	IA	1
7	45	I	B	9.4858944958	0.002071	IB	1
7	45	I	L	9.7199649776	0.007751	IL	2
7	45	A	L	5.3114618922	0.02119	AL	1
7	45	B	L	0.234070481800003	0.6285	BL	1
7	47	i	a	4.4142490222	0.03564	ia	1
7	47	i	b	9.72043877039999	0.001822	ib	1
7	47	i	l	9.9538709336	0.006895	il	2
7	47	i	I	1.87116443719999	0.3924	iI	2
7	47	a	l	5.5396219114	0.01859	al	1
7	47	a	A	1.8654185004	0.3935	aA	2
7	47	b	l	0.233432163200007	0.629	bl	1
7	47	b	B	1.6366201626	0.4412	bB	2
7	47	l	L	1.63725848119999	0.441	lL	2
7	47	I	A	4.4085030854	0.03576	IA	1
7	47	I	B	9.4858944958	0.002071	IB	1
7	47	I	L	9.7199649776	0.007751	IL	2
7	47	A	L	5.3114618922	0.02119	AL	1
7	47	B	L	0.234070481800003	0.6285	BL	1
8	16	i	a	1.53886301060001	0.2148	ia	1
8	16	i	b	7.625607229	0.005755	ib	1
8	16	i	l	9.16447023960001	0.01023	il	2
8	16	i	I	4.8043404684	0.09052	iI	2
8	16	a	l	7.625607229	0.005755	al	1
8	16	a	A	4.81624777799999	0.08998	aA	2
8	16	b	l	1.53886301060001	0.2148	bl	1
8	16	b	B	4.3930652434	0.1112	bB	2
8	16	l	L	4.40531643	0.1105	lL	2
8	16	I	A	1.5507703202	0.213	IA	1
8	16	I	B	7.214332004	0.007232	IB	1
8	16	I	L	8.76544620120001	0.01249	IL	2
8	16	A	L	7.21467588100001	0.007231	AL	1
8	16	B	L	1.55111419720001	0.213	BL	1
8	22	i	a	9.14704824860002	0.002491	ia	1
8	22	i	b	23.3080505006	1.38e-06	ib	1
8	22	i	l	26.6723247164	1.615e-06	il	2
8	22	i	I	5.38983915340003	0.06755	iI	2
8	22	a	l	17.5252764678	2.835e-05	al	1
8	22	a	A	5.23722090499999	0.0729	aA	2
8	22	b	l	3.36427421579998	0.06662	bl	1
8	22	b	B	1.37126491679999	0.5038	bB	2
8	22	l	L	1.70371298860002	0.4266	lL	2
8	22	I	A	8.99443000019997	0.002708	IA	1
8	22	I	B	19.289476264	1.123e-05	IB	1
8	22	I	L	22.9861985516	1.02e-05	IL	2
8	22	A	L	13.9917685514	0.0001836	AL	1
8	22	B	L	3.69672228760001	0.05452	BL	1
8	23	i	a	2.9751260452	0.08455	ia	1
8	23	i	b	7.80895156620002	0.005199	ib	1
8	23	i	l	8.32163343940002	0.01559	il	2
8	23	i	I	4.80357249240001	0.09056	iI	2
8	23	a	l	5.34650739420002	0.02076	al	1
8	23	a	A	4.78903779860002	0.09122	aA	2
8	23	b	l	0.512681873199995	0.474	bl	1
8	23	b	B	4.39144066219998	0.1113	bB	2
8	23	l	L	3.69457890479998	0.1577	lL	2
8	23	I	A	2.96059135140001	0.08532	IA	1
8	23	I	B	7.396819736	0.006534	IB	1
8	23	I	L	7.21263985179999	0.02715	IL	2
8	23	A	L	4.25204850039998	0.0392	AL	1
8	23	B	L	-0.184179884200006	1	BL	1
8	24	i	a	2.9751260452	0.08455	ia	1
8	24	i	b	7.80895156620002	0.005199	ib	1
8	24	i	l	8.32163343940002	0.01559	il	2
8	24	i	I	4.80357249240001	0.09056	iI	2
8	24	a	l	5.34650739420002	0.02076	al	1
8	24	a	A	4.78903779860002	0.09122	aA	2
8	24	b	l	0.512681873199995	0.474	bl	1
8	24	b	B	4.39144066219998	0.1113	bB	2
8	24	l	L	3.69457890479998	0.1577	lL	2
8	24	I	A	2.96059135140001	0.08532	IA	1
8	24	I	B	7.396819736	0.006534	IB	1
8	24	I	L	7.21263985179999	0.02715	IL	2
8	24	A	L	4.25204850039998	0.0392	AL	1
8	24	B	L	-0.184179884200006	1	BL	1
8	43	i	a	2.16749800240001	0.141	ia	1
8	43	i	b	3.6176173886	0.05717	ib	1
8	43	i	l	5.7851153734	0.05543	il	2
8	43	i	I	5.8675907482	0.05319	iI	2
8	43	a	l	3.61761737099999	0.05717	al	1
8	43	a	A	5.35273218379999	0.06881	aA	2
8	43	b	l	2.16749798480001	0.141	bl	1
8	43	b	B	4.81752469680001	0.08993	bB	2
8	43	l	L	4.5435113698	0.1031	lL	2
8	43	I	A	1.65263943799999	0.1986	IA	1
8	43	I	B	2.5675513372	0.1091	IB	1
8	43	I	L	4.461035995	0.1075	IL	2
8	43	A	L	2.80839655700001	0.09377	AL	1
8	43	B	L	1.8934846578	0.1688	BL	1
8	44	i	a	10.4692087776	0.001214	ia	1
8	44	i	b	26.3386211132	2.865e-07	ib	1
8	44	i	l	30.1576863314	2.827e-07	il	2
8	44	i	I	5.8890254616	0.05263	iI	2
8	44	a	l	19.6884775538	9.115e-06	al	1
8	44	a	A	5.20297267699999	0.07416	aA	2
8	44	b	l	3.8190652182	0.05067	bl	1
8	44	b	B	1.62485828800001	0.4438	bB	2
8	44	l	L	2.15760310300001	0.34	lL	2
8	44	I	A	9.78315599299998	0.001761	IA	1
8	44	I	B	22.0744539396	2.623e-06	IB	1
8	44	I	L	26.4262639728	1.826e-06	IL	2
8	44	A	L	16.6431079798	4.511e-05	AL	1
8	44	B	L	4.3518100332	0.03697	BL	1
8	45	i	a	2.9751260452	0.08455	ia	1
8	45	i	b	7.80895156620002	0.005199	ib	1
8	45	i	l	8.32163343940002	0.01559	il	2
8	45	i	I	4.80357249240001	0.09056	iI	2
8	45	a	l	5.34650739420002	0.02076	al	1
8	45	a	A	4.78903779860002	0.09122	aA	2
8	45	b	l	0.512681873199995	0.474	bl	1
8	45	b	B	4.39144066219998	0.1113	bB	2
8	45	l	L	3.69457890479998	0.1577	lL	2
8	45	I	A	2.96059135140001	0.08532	IA	1
8	45	I	B	7.396819736	0.006534	IB	1
8	45	I	L	7.21263985179999	0.02715	IL	2
8	45	A	L	4.25204850039998	0.0392	AL	1
8	45	B	L	-0.184179884200006	1	BL	1
8	47	i	a	2.9751260452	0.08455	ia	1
8	47	i	b	7.80895156620002	0.005199	ib	1
8	47	i	l	8.32163343940002	0.01559	il	2
8	47	i	I	4.80357249240001	0.09056	iI	2
8	47	a	l	5.34650739420002	0.02076	al	1
8	47	a	A	4.78903779860002	0.09122	aA	2
8	47	b	l	0.512681873199995	0.474	bl	1
8	47	b	B	4.39144066219998	0.1113	bB	2
8	47	l	L	3.69457890479998	0.1577	lL	2
8	47	I	A	2.96059135140001	0.08532	IA	1
8	47	I	B	7.396819736	0.006534	IB	1
8	47	I	L	7.21263985179999	0.02715	IL	2
8	47	A	L	4.25204850039998	0.0392	AL	1
8	47	B	L	-0.184179884200006	1	BL	1
8	51	i	a	5.99198122819996	0.01437	ia	1
8	51	i	b	3.97573901459998	0.04616	ib	1
8	51	i	l	6.29914317719999	0.04287	il	2
8	51	i	I	5.25959948119998	0.07209	iI	2
8	51	a	l	0.307161949000033	0.5794	al	1
8	51	a	A	5.96580581400002	0.05065	aA	2
8	51	b	l	2.32340416260001	0.1274	bl	1
8	51	b	B	4.0309814364	0.1333	bB	2
8	51	l	L	6.06932077179999	0.04809	lL	2
8	51	I	A	6.698187561	0.009651	IA	1
8	51	I	B	2.74712096979999	0.09743	IB	1
8	51	I	L	7.1088644678	0.0286	IL	2
8	51	A	L	0.410676906800006	0.5216	AL	1
8	51	B	L	4.36174349800001	0.03675	BL	1
11	16	i	a	1.26841405740001	0.2601	ia	1
11	16	i	b	10.5584112376	0.001157	ib	1
11	16	i	l	11.1656687608	0.003762	il	2
11	16	i	I	0.564425961400005	0.7541	iI	2
11	16	a	l	9.89725470339999	0.001655	al	1
11	16	a	A	0.5655926604	0.7537	aA	2
11	16	b	l	0.607257523200005	0.4358	bl	1
11	16	b	B	0.880639894600009	0.6438	bB	2
11	16	l	L	0.879788277000003	0.6441	lL	2
11	16	I	A	1.2695807564	0.2598	IA	1
11	16	I	B	10.8746251708	0.0009749	IB	1
11	16	I	L	11.4810310764	0.003213	IL	2
11	16	A	L	10.21145032	0.001396	AL	1
11	16	B	L	0.606405905599999	0.4361	BL	1
11	22	i	a	38.9109921784	4.436e-10	ia	1
11	22	i	b	25.9451681588	3.513e-07	ib	1
11	22	i	l	39.614616772	2.499e-09	il	2
11	22	i	I	0.951584261400001	0.6214	iI	2
11	22	a	l	0.703624593599997	0.4016	al	1
11	22	a	A	0.579892739200005	0.7483	aA	2
11	22	b	l	13.6694486132	0.000218	bl	1
11	22	b	B	6.50729057999999	0.03863	bB	2
11	22	l	L	0.498266995000009	0.7795	lL	2
11	22	I	A	38.5393006562	5.366e-10	IA	1
11	22	I	B	31.5008744774	1.994e-08	IB	1
11	22	I	L	39.1612995056	3.135e-09	IL	2
11	22	A	L	0.621998849400001	0.4303	AL	1
11	22	B	L	7.66042502820001	0.005645	BL	1
11	23	i	a	4.68340503360001	0.03046	ia	1
11	23	i	b	10.7445371532	0.001046	ib	1
11	23	i	l	10.9469111772	0.004197	il	2
11	23	i	I	0.563589689200001	0.7544	iI	2
11	23	a	l	6.2635061436	0.01233	al	1
11	23	a	A	0.565574418799997	0.7537	aA	2
11	23	b	l	0.202374024000008	0.6528	bl	1
11	23	b	B	0.879943909200009	0.6441	bB	2
11	23	l	L	0.879640205199991	0.6442	lL	2
11	23	I	A	4.68538976320001	0.03042	IA	1
11	23	I	B	11.0608913732	0.0008817	IB	1
11	23	I	L	11.2629616932	0.003583	IL	2
11	23	A	L	6.57757192999999	0.01033	AL	1
11	23	B	L	0.20207031999999	0.6531	BL	1
11	24	i	a	4.68340503360001	0.03046	ia	1
11	24	i	b	10.7445371532	0.001046	ib	1
11	24	i	l	10.9469111772	0.004197	il	2
11	24	i	I	0.563589689200001	0.7544	iI	2
11	24	a	l	6.2635061436	0.01233	al	1
11	24	a	A	0.565574418799997	0.7537	aA	2
11	24	b	l	0.202374024000008	0.6528	bl	1
11	24	b	B	0.879943909200009	0.6441	bB	2
11	24	l	L	0.879640205199991	0.6442	lL	2
11	24	I	A	4.68538976320001	0.03042	IA	1
11	24	I	B	11.0608913732	0.0008817	IB	1
11	24	I	L	11.2629616932	0.003583	IL	2
11	24	A	L	6.57757192999999	0.01033	AL	1
11	24	B	L	0.20207031999999	0.6531	BL	1
11	44	i	a	36.485348296	1.538e-09	ia	1
11	44	i	b	24.2952589304	8.264e-07	ib	1
11	44	i	l	37.3364237222	7.807e-09	il	2
11	44	i	I	1.48144921460002	0.4768	iI	2
11	44	a	l	0.851075426199998	0.3562	al	1
11	44	a	A	0.841620594999995	0.6565	aA	2
11	44	b	l	13.0411647918	0.0003047	bl	1
11	44	b	B	7.3321908036	0.02558	bB	2
11	44	l	L	0.745018590000001	0.689	lL	2
11	44	I	A	35.8455196764	2.136e-09	IA	1
11	44	I	B	30.1460005194	4.007e-08	IB	1
11	44	I	L	36.5999930976	1.128e-08	IL	2
11	44	A	L	0.754473421200004	0.3851	AL	1
11	44	B	L	6.4539925782	0.01107	BL	1
11	45	i	a	4.68340503360001	0.03046	ia	1
11	45	i	b	10.7445371532	0.001046	ib	1
11	45	i	l	10.9469111772	0.004197	il	2
11	45	i	I	0.563589689200001	0.7544	iI	2
11	45	a	l	6.2635061436	0.01233	al	1
11	45	a	A	0.565574418799997	0.7537	aA	2
11	45	b	l	0.202374024000008	0.6528	bl	1
11	45	b	B	0.879943909200009	0.6441	bB	2
11	45	l	L	0.879640205199991	0.6442	lL	2
11	45	I	A	4.68538976320001	0.03042	IA	1
11	45	I	B	11.0608913732	0.0008817	IB	1
11	45	I	L	11.2629616932	0.003583	IL	2
11	45	A	L	6.57757192999999	0.01033	AL	1
11	45	B	L	0.20207031999999	0.6531	BL	1
11	46	i	a	22.7262734582	1.868e-06	ia	1
11	46	i	b	13.5386013348	0.0002337	ib	1
11	46	i	l	23.229294279	9.033e-06	il	2
11	46	i	I	0.843444955799995	0.6559	iI	2
11	46	a	l	0.503020820800003	0.4782	al	1
11	46	a	A	0.650736236599997	0.7223	aA	2
11	46	b	l	9.69069294420001	0.001852	bl	1
11	46	b	B	3.4777252218	0.1757	bB	2
11	46	l	L	0.828679988199994	0.6608	lL	2
11	46	I	A	22.533564739	2.065e-06	IA	1
11	46	I	B	16.1728816008	5.782e-05	IB	1
